Distance (m),u (m/s),res_time (s),T (K),P (Pa),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
2.5000000000000002e-08,0.004999936316552806,5.000063684258322e-06,1499.9791390280468,101324.99999999997,7.54577376521645e-07,1.911558977865342e-08,6.128216275097137e-09,0.39999555690868666,1.7563256449497828e-08,1.2096710996828626e-06,2.947791212751103e-06,1.9532314660712625e-07,8.842900786169963e-24,5.3684593299982805e-17,2.734655071086269e-13,1.3756723399067556e-13,6.4481043740139575e-06,0.3999926441865269,1.2434499008229513e-09,1.5595510895702047e-11,5.023312405538975e-12,4.1879718857170085e-07,2.904307464014961e-14,2.199845465298529e-09,7.802516678503781e-09,9.106866780807183e-23,3.498934221861988e-14,8.907916337850611e-17,5.954353428852922e-10,8.253080372665585e-11,4.016422653156609e-09,4.059832963101243e-21,4.044201393207311e-15,2.7412280452133756e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999976587197874,1.0772780993715537e-17,4.543010424629442e-14,1.2366121533166858e-16,2.2495089943549184e-15
5.0000000000000004e-08,0.004999877326096697,1.0000186361171475e-05,1499.959041063983,101325.00000000001,1.6568501141297323e-06,2.2854781866353307e-08,9.915004543296641e-09,0.399990351602584,3.508404851529706e-08,3.626508298457053e-06,5.523087182769751e-06,4.642821023458515e-07,2.3298177895362488e-23,1.1824357845238592e-16,1.2769293645934886e-12,6.066812966988919e-13,1.419642949584671e-05,0.3999832067320246,5.747807133819232e-09,8.845185444629011e-11,1.7828569356285714e-11,1.3942289016200155e-06,1.4670106940331757e-13,5.6240602906214715e-09,2.7757448956587436e-08,1.2459764320739324e-21,2.47143888053274e-13,1.04651351317111e-15,3.5536571981964814e-09,4.100726432453062e-10,2.3472176929090885e-08,5.135664979629143e-20,5.043644443565503e-14,4.141708874175981e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999944575106476,1.258869464725496e-16,5.418402077173859e-13,1.4188022338125686e-15,2.033027043950091e-14
7.500000000000001e-08,0.004999825310896006,1.500036105637894e-05,1499.940325700978,101325.0,2.7329456827604383e-06,2.72545720802957e-08,1.4280569731447293e-08,0.39998423274170497,5.5274768628001406e-08,7.434954942426481e-06,7.750318964193969e-06,7.477733658309438e-07,4.554664984483065e-23,1.9381110181274027e-16,3.3809098814530253e-12,1.569539810530473e-12,2.3253637234481713e-05,0.39997147407483225,1.6447196028520176e-08,2.814603826914145e-10,4.1914837426971485e-11,3.0659656554553014e-06,4.142725812663927e-13,1.0303682599521915e-08,6.43278807506304e-08,7.507999194339745e-21,9.558683668449642e-13,5.4062839399537294e-15,1.1656549020969995e-08,1.1233314717847173e-09,7.56291125609559e-08,3.165490747946505e-19,2.8827597451428015e-13,2.7708049636395114e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999903095710062,6.085856410751991e-16,2.7648734252452377e-12,7.27511262448272e-15,9.165027004504086e-14
1.0000000000000001e-07,0.004999782679799186,2.000057838602578e-05,1499.9237028595999,101325.00000000013,4.022860497385119e-06,3.266587481827237e-08,1.9332168281473973e-08,0.39997705845164616,7.746218968200928e-08,1.2773244134999192e-05,9.65446294896253e-06,1.0177176145273576e-06,7.895562385858036e-23,2.802959962266587e-16,6.990441113126004e-12,3.191808090895538e-12,3.359060832438066e-05,0.39995727064887227,3.738247627592153e-08,6.807735935419654e-10,8.159932295154574e-11,5.570867524272736e-06,8.967807546152801e-13,1.6227896876352713e-08,1.219402805198601e-07,3.005674638470109e-20,2.743285132350017e-12,1.8900188559530572e-14,2.8803806960799533e-08,2.377385486558854e-09,1.8436751322910185e-07,1.3539941998244185e-18,1.1177187655604203e-12,1.2248973174748612e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999985197916431,1.9988625724516198e-15,9.54651044245307e-12,2.5375653558297898e-14,2.959250955030371e-13
1.2500000000000002e-07,0.004999751866069647,2.5000826532270833e-05,1499.909921603857,101324.99999999999,5.5668536040565046e-06,3.909503747237368e-08,2.504391485243352e-08,0.39996869896691234,1.0115672699765761e-07,1.9746038450359972e-05,1.1261894962874374e-05,1.261563479173721e-06,1.272213299595433e-22,3.7735079044688937e-16,1.2521762416267367e-11,5.634194519732873e-12,4.51372317568536e-05,0.39994046163332464,7.387181349155496e-08,1.396520239310663e-09,1.4199441075880557e-10,9.037188450570275e-06,1.660026899600443e-12,2.3329539381608456e-08,2.0478309554204448e-07,9.362232108526261e-20,6.5557821152554006e-12,5.225220544841983e-14,6.008569580006909e-08,4.337466630269873e-09,3.805295171812795e-07,4.584717686689828e-18,3.4097412361568444e-12,4.182832196682596e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999791480091333,5.245957821626186e-15,2.6135705442178513e-11,7.013251783823237e-14,7.785734670010815e-13
1.5000000000000002e-07,0.004999735269796536,3.0001091276491458e-05,1499.8997429935487,101324.99999999997,7.403887261660653e-06,4.6509071778658326e-08,3.136924743886831e-08,0.3999590376689361,1.2602835942032123e-07,2.843541640672592e-05,1.2600992845882797e-05,1.4746806728070412e-06,1.9432696345970683e-22,4.844920728663592e-16,2.0380621778513598e-11,9.047228443374946e-12,5.779531453069984e-05,0.39992094200226186,1.3265912885924365e-07,2.5622887721761335e-09,2.2893708479611094e-10,1.35801704490769e-05,2.7683589407843096e-12,3.149712501826573e-08,3.1664799516250946e-07,2.4574419284733213e-19,1.3819471968761244e-11,1.2320522045128515e-13,1.1179041003145851e-07,7.1699049735345045e-09,7.018259226667711e-07,1.3150016099899532e-17,8.816070532228663e-12,1.1951447062703253e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999722146016577,1.1851570323405968e-14,6.116796259270802e-11,1.6544996796655926e-13,1.7775299173033176e-12
1.7500000000000002e-07,0.004999735212657873,3.50013560778568e-05,1499.8939210268534,101325.00000000001,9.570645767913693e-06,5.485034279722823e-08,3.824888645815867e-08,0.399947972261613,1.5182160958350568e-07,3.890600239543706e-05,1.3702235755631922e-05,1.656602312156295e-06,2.8437896882058723e-22,6.011690250186614e-16,3.093940391129188e-11,1.3564160558544933e-11,7.144630364887793e-05,0.3998986315321694,2.220270602287208e-07,4.3333089405072446e-09,3.4886547454627924e-10,1.9299013644906683e-05,4.282592807086949e-12,4.058959385618481e-08,4.60823370311641e-07,5.691901860737021e-19,2.6565961709965077e-11,2.585816724417652e-13,1.9134293929912686e-07,1.1032637984651168e-08,1.1923141599089843e-06,3.3260997294513625e-17,2.0171107535120392e-11,2.994290520645848e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999964474424644,2.400958315516939e-14,1.2764837294980128e-10,3.4754379408620825e-13,3.650971542751512e-12
2.0000000000000002e-07,0.004999753903088926,4.000160218688122e-05,1499.8931882291588,101325.00000000012,1.2100926078427076e-05,6.404601111100718e-08,4.561502634828704e-08,0.3999354154891961,1.7832079127332243e-07,5.120770022132433e-05,1.459781095271677e-05,1.8091278096927194e-06,4.0145975102677715e-22,7.268039045638231e-16,4.4515917604061076e-11,1.9294469648569865e-11,8.595680395656713e-05,0.3998734720045878,3.518657276697076e-07,6.883424343930576e-09,5.086518387493025e-10,2.627517935959819e-05,6.2586793639813595e-12,5.045162210226408e-08,6.400421669924755e-07,1.197632178868258e-18,4.756354470906629e-11,4.961468468054144e-13,3.071790632929598e-07,1.6066215717492607e-08,1.901477044786712e-06,7.615935032211946e-17,4.197732092550957e-11,6.777981348648286e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999560209053482,4.4726602684890636e-14,2.438352829206095e-10,6.674987433776287e-13,6.9029715362341246e-12
2.2500000000000002e-07,0.00499979341136581,4.5001808784051537e-05,1499.8982445137117,101325.0,1.5025376674373727e-05,7.401685838560196e-08,5.3395086411636675e-08,0.3999212951278442,2.0534056711497935e-07,6.53777737305966e-05,1.5320827511566234e-05,1.9353144591524087e-06,5.495219730231712e-22,8.608185633571599e-16,6.135610898937976e-11,2.6319210671999548e-11,0.00010118349544821805,0.3998454246254992,5.336932186600064e-07,1.0401080094279835e-08,7.154077766444092e-10,3.4571940500379275e-05,8.747319342006806e-12,6.092798326720834e-08,8.564807897982538e-07,2.3344557040821464e-18,8.044796054716748e-11,8.860487073136856e-13,4.6856331301006625e-07,2.2386024155572163e-08,2.882963860630757e-06,1.60769955817672e-16,8.095541730801339e-11,1.414802966142963e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999946959280436,7.790827095690343e-14,4.339109548566704e-10,1.1932506957895877e-12,1.2204074164173152e-11
2.5000000000000004e-07,0.004999855653849341,5.000195313436948e-05,1499.909748700078,101324.99999999999,1.837153224233696e-05,8.46847641034668e-08,6.151513715268961e-08,0.39990555322038834,2.327263441199057e-07,8.144295324501478e-05,1.5904286081334524e-05,2.0388904459693547e-06,7.323330119049596e-22,1.0026537981694498e-15,8.162242157797253e-11,3.468881622413425e-11,0.00011697798581303724,0.3998144669820793,7.806285553299817e-07,1.508465009311167e-08,9.76280979040571e-10,4.4235014623832106e-05,1.1794474124136366e-11,7.187557184881359e-08,1.1118008811141413e-06,4.2744134524806805e-18,1.298464725945269e-10,1.4916541042211612e-12,6.853646738262185e-07,3.0076412392317686e-08,4.193086191641104e-06,3.170778680924815e-16,1.466324238311091e-10,2.7631640699999238e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999374015865332,1.2839974704519543e-13,7.283437264773815e-10,2.0107414609442676e-12,2.040428266254361e-11
